Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Pieaugušo neformālās izglītības iestāde ""Izglītības un kompetences centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Latvijas SOS - bērnu ciematu asociācija";"Nē";"Nē";"3380802032";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo neformālās izglītības iestāde TILTS";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Biedrība KPK ""Tilts""";"Nē";"Nē";"1080802120";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Mācību un konsultāciju centrs ""Extra eye""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""GLOBAL INTELLECTUAL SECURITY""";"Nē";"Nē";"3380802123";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""SUSTENTO""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Latvijas Cilvēku ar īpašām vajadzībām sadarbības organizācija ""SUSTENTO""";"Nē";"Nē";"3380802091";"Juridiska vai fiziska persona";"RĪGA"
"Neformālās izglītības iestāde ""BALTĀ SKOLA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Nodibinājums ""Izaugsmes un attīstības centrs BALTĀ STUDIJA""";"Nē";"Nē";"3380802037";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Amalja""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Amalja""";"Nē";"Nē";"3380802038";"Juridiska vai fiziska persona";"RĪGA"
"Neformālās izglītības iestāde ""Ceļš uz laimi""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Biedrība ""Ceļš uz laimi""";"Nē";"Nē";"3380802053";"Juridiska vai fiziska persona";"RĪGA"
"Neformālās izglītības iestāde ""Mācību un konsultāciju centrs AVETA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""AVETA""";"Nē";"Nē";"3380802055";"Juridiska vai fiziska persona";"RĪGA"
"Neformālās izglītības iestāde ""Semināru un konsultāciju centrs ""Kūrija""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Kūrija""";"Nē";"Nē";"4580802036";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Mācību centrs ZIDIT.LV""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Latvijas Zīdīšanas veicināšanas konsultantu asociācija""";"Nē";"Nē";"3380802043";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās Izglītības centrs FORTE";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA Forte Gi";"Nē";"Nē";"4480802048";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Mācību centrs Betas Nams""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""BETAS NAMS""";"Nē";"Nē";"4480802061";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Business Education Plus""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Business Education Plus""";"Nē";"Nē";"2980802069";"Juridiska vai fiziska persona";"JŪRMALA"
"Pieaugušo neformālās izglītības iestāde ""AIVAR ARON School""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Competition and You""";"Nē";"Nē";"3380802155";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Domenika Latvia mācību centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Domenika Latvia""";"Nē";"Nē";"3380802166";"Juridiska vai fiziska persona";"-Nav norādīts-"
