Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Privātā pirmsskolas izglītības iestāde ""Mazulītis Rū""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Mazulītis Rū""";"Nē";"Nē";"3801802994";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Varavīksnes putns""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"""Varavīksnes putns""";"Nē";"Nē";"4301802962";"Juridiska vai fiziska persona";"BABĪTES NOVADS"
"Privātā pirmsskolas izglītības iestāde ""Zeltābele""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""Zeltābele.lv""";"Nē";"Nē";"3601802963";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Dimantiņi""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""Rebor""";"Nē";"Nē";"3801803010";"Juridiska vai fiziska persona";"RĪGA"
"Pirmsskolas izglītības iestāde ""Protu protu""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Protu protu""";"Nē";"Nē";"3901802990";"Juridiska vai fiziska persona";"RĪGA"
"Privātā pirmsskolas izglītības iestāde ""Childcare""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""CHILDCARE""";"Nē";"Nē";"3401802939";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Motek""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas Ebreju kopiena";"Nē";"Nē";"3601803018";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Ābolu maiss""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Acta-re""";"Nē";"Nē";"3401803027";"Juridiska vai fiziska persona";"RĪGA"
"Privātā pirmsskolas izglītības iestāde ""Dudiņdārzs""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""DUDI""";"Nē";"Nē";"3701803030";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Rotaļkāre""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""Filii""";"Nē";"Nē";"3601802976";"Juridiska vai fiziska persona";"RĪGA"
"Privātā pirmsskolas izglītības iestāde ""Bruņurupučuks""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""ARDELIN""";"Nē";"Nē";"3601803016";"Juridiska vai fiziska persona";"RĪGA"
"Rīgas pirmsskolas izglītības iestāde ""Kurzeme""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3501903041";"Pašvaldība ";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Skudriņa Tipa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Vita Jundze";"Nē";"Nē";"4301802943";"Juridiska vai fiziska persona";"GARKALNES NOVADS"
"Privātā pirmsskolas izglītības iestāde ""Maziņš ES""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""Maziņš ES""";"Nē";"Nē";"3601802947";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pirmskolas izglītības iestāde ""Montesori Kates skola""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""M.M.""";"Nē";"Nē";"4301802975";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Mazputniņi""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""VISS BĒRNIEM""";"Nē";"Nē";"4301802980";"Juridiska vai fiziska persona";"GARKALNES NOVADS"
"Privātā pirmsskolas izglītības iestāde ""m""Kripatiņas""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""RĀGA-1""";"Nē";"Nē";"4301803075";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Valmiermuižas pirmsskolas izglītības iestāde ""Burtiņš""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Valmieras novada pašvaldība";"Nē";"Nē";"4401903038";"Pašvaldība ";"BURTNIEKU NOVADS"
"Ventspils novada Zlēku pirmsskolas izglītības iestāde ""Rūķītis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Ventspils novada pašvaldība";"Nē";"Nē";"4101903113";"Pašvaldība ";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Otiņš""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""SINAIG""";"Nē";"Nē";"4301803115";"Juridiska vai fiziska persona";"ĶEKAVAS NOVADS"
"Privātā pirmsskolas izglītības iestāde ""Māja""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""ERRD""";"Nē";"Nē";"3801803061";"Juridiska vai fiziska persona";"RĪGA"
"Privātā pirmsskolas izglītības iestāde ""Cipatiņa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Cipatiņa""";"Nē";"Nē";"3601803116";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Siguldas novada Siguldas pilsētas pirmsskolas izglītības iestāde ""Pasaciņa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Siguldas novada pašvaldība";"Nē";"Nē";"4301902991";"Pašvaldība ";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Putnu dārzs""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Putnu dārzs""";"Nē";"Nē";"3401803136";"Juridiska vai fiziska persona";"-Nav norādīts-"
