Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Interešu izglītības iestāde ""Robotikas skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""ROBO HUB""";"Nē";"Nē";"3351803224";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Voldiņš""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""ELISABETT""";"Nē";"Nē";"3351803154";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Etiķetes skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""METROMODELS""";"Nē";"Nē";"3351803230";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Mazā Brīnumzeme""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Mazā Brīnumzeme""";"Nē";"Nē";"4351803285";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Bērnu centrs KĀ MĀJĀS""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""Bērnu centrs""";"Nē";"Nē";"4351803287";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""Personības pilnveides centrs ""Mājskola""""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Kultūras atbalsta Biedrība""";"Nē";"Nē";"3351803175";"Juridiska vai fiziska persona";"RĪGA"
"Interešu izglītības iestāde ""SMAIDS""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Atbalsta centrs bērniem un jauniešiem ar ierobežotām iespējām ""SMAIDS""";"Nē";"Nē";"3351803162";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Interešu izglītības iestāde ""SMAIDS ABC""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""Smaids S.U.""";"Nē";"Nē";"3351803283";"Juridiska vai fiziska persona";"RĪGA"
"Interešu izglītības iestāde ""Avots""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Biedrība ""Kultūras, mākslas un izglītības centrs ArtLab""";"Nē";"Nē";"3351803284";"Juridiska vai fiziska persona";"RĪGA"
"Interešu izglītības iestāde ""Dziesmu skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Dziesmu skola""";"Nē";"Nē";"4151803144";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Jūrmalas interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Fonds-Jūrmala cilvēkam";"Nē";"Nē";"2951803163";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pārdaugavas bērnu un jauniešu centrs ""Altona""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351903303";"Pašvaldība ";"-Nav norādīts-"
"Aglonas bērnu un jauniešu brīvā laika pavadīšanas centrs ""Strops""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Preiļu novada pašvaldība";"Nē";"Nē";"4251903235";"Pašvaldība ";"-Nav norādīts-"
"Interešu izglītības iestāde ""BCI Akadēmija""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""Baltic Centre International""";"Nē";"Nē";"3151803418";"Juridiska vai fiziska persona";"RĒZEKNE"
"Interešu izglītības iestāde ""Pirmā programmēšanas skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""Pirmā programmēšanas skola""";"Nē";"Nē";"3351803278";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Bērnu un jauniešu interešu izglītības iestāde ""Starptautiskais vingrošanas klubs""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Starptautiskais vingrošanas klubs"" SIA";"Nē";"Nē";"3351803498";"Juridiska vai fiziska persona";"-Nav norādīts-"
